# DSC deconvolution: T (C), smoothed signal, baseline, components (mW/mg).
T_C_1K,DSC_smoothed_1K,baseline_1K,peak_minus_baseline_1K,FS_fit_1K,T_C_3K,DSC_smoothed_3K,baseline_3K,peak_minus_baseline_3K,FS_fit_3K,T_C_5K,DSC_smoothed_5K,baseline_5K,peak_minus_baseline_5K,FS_fit_5K
285.204,-0.279859,-0.279621,0,-0.279621,282.301,-0.209391,-0.207868,0,-0.207868,286.253,-0.190929,-0.19007,0,-0.19007
285.205,-0.279847,-0.27962,0,-0.27962,282.303,-0.2094,-0.207861,0,-0.207861,286.255,-0.190923,-0.19006,0,-0.19006
285.206,-0.279836,-0.279619,0,-0.279619,282.305,-0.209409,-0.207854,0,-0.207854,286.256,-0.190917,-0.19005,0,-0.19005
285.208,-0.279824,-0.279619,0,-0.279619,282.307,-0.209419,-0.207847,0,-0.207847,286.258,-0.190911,-0.19004,0,-0.19004
285.209,-0.279812,-0.279618,0,-0.279618,282.309,-0.209429,-0.207839,0,-0.207839,286.26,-0.190905,-0.19003,0,-0.19003
285.211,-0.279801,-0.279617,0,-0.279617,282.311,-0.209439,-0.207832,0,-0.207832,286.262,-0.190899,-0.19002,0,-0.19002
285.212,-0.279788,-0.279616,0,-0.279616,282.313,-0.209449,-0.207825,0,-0.207825,286.263,-0.190893,-0.190011,0,-0.190011
285.214,-0.279776,-0.279616,0,-0.279616,282.315,-0.20946,-0.207817,0,-0.207817,286.265,-0.190886,-0.190001,0,-0.190001
285.215,-0.279763,-0.279615,0,-0.279615,282.318,-0.209471,-0.20781,0,-0.20781,286.267,-0.19088,-0.189991,0,-0.189991
285.216,-0.27975,-0.279614,0,-0.279614,282.32,-0.209482,-0.207803,0,-0.207803,286.269,-0.190874,-0.189981,0,-0.189981
285.218,-0.279738,-0.279614,0,-0.279614,282.322,-0.209493,-0.207795,0,-0.207795,286.27,-0.190867,-0.189971,0,-0.189971
285.219,-0.279726,-0.279613,0,-0.279613,282.324,-0.209505,-0.207788,0,-0.207788,286.272,-0.19086,-0.189961,0,-0.189961
285.221,-0.279714,-0.279612,0,-0.279612,282.326,-0.209516,-0.207781,0,-0.207781,286.274,-0.190852,-0.189951,0,-0.189951
285.222,-0.279703,-0.279612,0,-0.279612,282.328,-0.209527,-0.207774,0,-0.207774,286.276,-0.190844,-0.189942,0,-0.189942
285.224,-0.279692,-0.279611,0,-0.279611,282.33,-0.209538,-0.207766,0,-0.207766,286.278,-0.190836,-0.189932,0,-0.189932
285.225,-0.279682,-0.27961,0,-0.27961,282.332,-0.209549,-0.207759,0,-0.207759,286.279,-0.190828,-0.189922,0,-0.189922
285.226,-0.279672,-0.279609,0,-0.279609,282.334,-0.20956,-0.207752,0,-0.207752,286.281,-0.19082,-0.189912,0,-0.189912
285.228,-0.279663,-0.279609,0,-0.279609,282.336,-0.209571,-0.207744,0,-0.207744,286.283,-0.190812,-0.189902,0,-0.189902
285.229,-0.279653,-0.279608,0,-0.279608,282.338,-0.209582,-0.207737,0,-0.207737,286.285,-0.190805,-0.189892,0,-0.189892
285.231,-0.279643,-0.279607,0,-0.279607,282.341,-0.209593,-0.20773,0,-0.20773,286.286,-0.190798,-0.189883,0,-0.189883
285.232,-0.279633,-0.279607,0,-0.279607,282.343,-0.209604,-0.207722,0,-0.207722,286.288,-0.190791,-0.189873,0,-0.189873
285.233,-0.279623,-0.279606,0,-0.279606,282.345,-0.209615,-0.207715,0,-0.207715,286.29,-0.190785,-0.189863,0,-0.189863
285.235,-0.279612,-0.279605,0,-0.279605,282.347,-0.209626,-0.207708,0,-0.207708,286.292,-0.190779,-0.189853,0,-0.189853
285.236,-0.279601,-0.279605,3.34417e-06,-0.279605,282.349,-0.209637,-0.207701,0,-0.207701,286.293,-0.190774,-0.189843,0,-0.189843
285.238,-0.279591,-0.279604,1.32968e-05,-0.279604,282.351,-0.209648,-0.207693,0,-0.207693,286.295,-0.190769,-0.189833,0,-0.189833
285.239,-0.27958,-0.279603,2.29542e-05,-0.279603,282.353,-0.209658,-0.207686,0,-0.207686,286.297,-0.190764,-0.189823,0,-0.189823
285.241,-0.27957,-0.279603,3.28184e-05,-0.279603,282.355,-0.209668,-0.207679,0,-0.207679,286.299,-0.19076,-0.189814,0,-0.189814
285.242,-0.279559,-0.279602,4.31024e-05,-0.279602,282.357,-0.209678,-0.207671,0,-0.207671,286.3,-0.190756,-0.189804,0,-0.189804
285.243,-0.279548,-0.279601,5.34045e-05,-0.279601,282.359,-0.209688,-0.207664,0,-0.207664,286.302,-0.190752,-0.189794,0,-0.189794
